run_id,status,datasets,catalog_csv,log_file,run_dir
20260415T025501Z,SUCCESS,2,/mnt/data/reorgproj/liq_data_download/data/manifests/download_catalog.csv,/mnt/data/reorgproj/liq_data_download/logs/runs/20260415T025501Z/pipeline.log,/mnt/data/reorgproj/liq_data_download/logs/runs/20260415T025501Z
20260415T030651Z,SUCCESS,2,/mnt/data/reorgproj/liq_data_download/data/manifests/download_catalog.csv,/mnt/data/reorgproj/liq_data_download/logs/runs/20260415T030651Z/pipeline.log,/mnt/data/reorgproj/liq_data_download/logs/runs/20260415T030651Z
20260415T073009Z,SUCCESS,2,/Users/zhoutianlian/Documents/MyGitHub/WTRCodeHub/BTC-LPTM-FeatureEngineering/liq_data_download/data/manifests/download_catalog.csv,/Users/zhoutianlian/Documents/MyGitHub/WTRCodeHub/BTC-LPTM-FeatureEngineering/liq_data_download/logs/runs/20260415T073009Z/pipeline.log,/Users/zhoutianlian/Documents/MyGitHub/WTRCodeHub/BTC-LPTM-FeatureEngineering/liq_data_download/logs/runs/20260415T073009Z
20260418T063511Z,SUCCESS,2,/Users/zhoutianlian/Documents/MyGitHub/WTRCodeHub/BTC-LPTM-FeatureEngineering/liq_data_download/data/manifests/download_catalog.csv,/Users/zhoutianlian/Documents/MyGitHub/WTRCodeHub/BTC-LPTM-FeatureEngineering/liq_data_download/logs/runs/20260418T063511Z/pipeline.log,/Users/zhoutianlian/Documents/MyGitHub/WTRCodeHub/BTC-LPTM-FeatureEngineering/liq_data_download/logs/runs/20260418T063511Z
20260429T085943Z,FAILED,0,/Users/zhoutianlian/Documents/MyGitHub/WTRCodeHub/BTC-LPTM-FeatureEngineering/liq_data_download/data/manifests/download_catalog.csv,/Users/zhoutianlian/Documents/MyGitHub/WTRCodeHub/BTC-LPTM-FeatureEngineering/liq_data_download/logs/runs/20260429T085943Z/pipeline.log,/Users/zhoutianlian/Documents/MyGitHub/WTRCodeHub/BTC-LPTM-FeatureEngineering/liq_data_download/logs/runs/20260429T085943Z
20260429T090117Z,FAILED,0,/Users/zhoutianlian/Documents/MyGitHub/WTRCodeHub/BTC-LPTM-FeatureEngineering/liq_data_download/data/manifests/download_catalog.csv,/Users/zhoutianlian/Documents/MyGitHub/WTRCodeHub/BTC-LPTM-FeatureEngineering/liq_data_download/logs/runs/20260429T090117Z/pipeline.log,/Users/zhoutianlian/Documents/MyGitHub/WTRCodeHub/BTC-LPTM-FeatureEngineering/liq_data_download/logs/runs/20260429T090117Z
20260429T090313Z,FAILED,0,/Users/zhoutianlian/Documents/MyGitHub/WTRCodeHub/BTC-LPTM-FeatureEngineering/liq_data_download/data/manifests/download_catalog.csv,/Users/zhoutianlian/Documents/MyGitHub/WTRCodeHub/BTC-LPTM-FeatureEngineering/liq_data_download/logs/runs/20260429T090313Z/pipeline.log,/Users/zhoutianlian/Documents/MyGitHub/WTRCodeHub/BTC-LPTM-FeatureEngineering/liq_data_download/logs/runs/20260429T090313Z
20260429T090509Z,SUCCESS,1,/Users/zhoutianlian/Documents/MyGitHub/WTRCodeHub/BTC-LPTM-FeatureEngineering/liq_data_download/data/manifests/download_catalog.csv,/Users/zhoutianlian/Documents/MyGitHub/WTRCodeHub/BTC-LPTM-FeatureEngineering/liq_data_download/logs/runs/20260429T090509Z/pipeline.log,/Users/zhoutianlian/Documents/MyGitHub/WTRCodeHub/BTC-LPTM-FeatureEngineering/liq_data_download/logs/runs/20260429T090509Z
20260429T091207Z,FAILED,0,/Users/zhoutianlian/Documents/MyGitHub/WTRCodeHub/BTC-LPTM-FeatureEngineering/liq_data_download/data/manifests/download_catalog.csv,/Users/zhoutianlian/Documents/MyGitHub/WTRCodeHub/BTC-LPTM-FeatureEngineering/liq_data_download/logs/runs/20260429T091207Z/pipeline.log,/Users/zhoutianlian/Documents/MyGitHub/WTRCodeHub/BTC-LPTM-FeatureEngineering/liq_data_download/logs/runs/20260429T091207Z
20260504T092633Z,SUCCESS,3,/Users/zhoutianlian/Documents/MyGitHub/WTRCodeHub/BTC-LPTM-FeatureEngineering/liq_data_download/data/manifests/download_catalog.csv,/Users/zhoutianlian/Documents/MyGitHub/WTRCodeHub/BTC-LPTM-FeatureEngineering/liq_data_download/logs/runs/20260504T092633Z/pipeline.log,/Users/zhoutianlian/Documents/MyGitHub/WTRCodeHub/BTC-LPTM-FeatureEngineering/liq_data_download/logs/runs/20260504T092633Z
