hmm_state,horizon_min,n,mean_aligned_actual_bps,median_aligned_actual_bps,mean_plie_mag_bps,transmission_rate,mean_absorption
1,20,6216,0.3587,0.1782,5.0159,0.5042,0.9424
1,30,6216,0.5119,0.0304,6.1433,0.5008,0.9025
1,60,6216,1.0917,0.4278,8.9406,0.506,0.9042
2,20,7462,-0.1117,0.0,0.9784,0.4885,0.5632
2,30,7462,0.0923,-0.0,1.165,0.4991,0.2892
2,60,7461,-0.4723,0.0,1.47,0.493,1.3098
3,20,7698,0.3082,0.0,0.1077,0.1159,-1.3956
3,30,7698,0.3989,0.0,0.1236,0.1187,0.2172
3,60,7698,0.2562,0.0,0.1523,0.1151,2.1817
4,20,10220,-0.2761,0.0,1.0741,0.4899,1.3579
4,30,10220,-0.1804,-0.0336,1.2799,0.4889,0.9175
4,60,10220,-0.3524,-0.4543,1.6232,0.4836,0.5204
5,20,8912,0.3233,0.1451,5.216,0.5039,1.0329
5,30,8912,0.5816,0.1679,6.3846,0.5021,1.0118
5,60,8912,0.8057,0.1507,9.2957,0.5018,0.9603
