transition_type,horizon_min,n,mean_aligned_actual_bps,mean_plie_mag_bps,transmission_rate
4->4,20,9673,-0.4633,1.061,0.4903
4->4,30,9673,-0.3716,1.2627,0.4895
4->4,60,9673,-0.53,1.6021,0.4827
5->5,20,8697,0.326,5.1881,0.5033
5->5,30,8697,0.5679,6.3272,0.5027
5->5,60,8697,0.6799,9.2393,0.5013
3->3,20,7076,0.3255,0.1154,0.1215
3->3,30,7076,0.4522,0.1324,0.1242
3->3,60,7076,0.2719,0.1633,0.1213
2->2,20,6981,-0.3138,0.9632,0.4878
2->2,30,6981,-0.1438,1.1447,0.4946
2->2,60,6980,-0.664,1.4449,0.4914
1->1,20,6029,0.206,4.9864,0.5034
1->1,30,6029,0.3623,6.0778,0.4983
1->1,60,6029,0.9028,8.8782,0.5039
3->4,20,333,4.5805,1.3366,0.4895
3->4,30,333,4.9389,1.5812,0.4805
3->4,60,333,4.9532,2.0335,0.4985
4->3,20,329,0.1538,0.022,0.0638
4->3,30,329,-0.5884,0.0256,0.0638
4->3,60,329,-0.3265,0.0286,0.0486
2->3,20,291,0.1183,0.0191,0.0378
2->3,30,291,0.2773,0.0221,0.0481
2->3,60,291,0.6602,0.025,0.0412
3->2,20,289,2.7001,1.1381,0.4602
3->2,30,289,2.4238,1.3482,0.5363
3->2,60,289,-0.2967,1.7201,0.5017
4->5,20,215,0.2163,6.3456,0.5302
4->5,30,215,1.137,8.7051,0.4791
4->5,60,215,5.8924,11.5766,0.5209
5->4,20,212,0.756,1.2449,0.4717
5->4,30,212,0.5631,1.5761,0.4764
5->4,60,212,-0.7961,1.9179,0.4953
2->1,20,187,5.281,5.9689,0.5294
2->1,30,187,5.3328,8.2548,0.5829
2->1,60,187,7.1834,10.9509,0.5722
1->2,20,187,2.7417,1.2933,0.5508
1->2,30,187,4.6028,1.6353,0.5989
1->2,60,187,5.5745,2.014,0.5348
4->2,20,3,3.863,1.3693,0.6667
4->2,30,3,24.8344,1.6185,0.6667
4->2,60,3,29.1069,2.0871,0.3333
5->3,20,2,-7.8118,0.06,0.0
5->3,30,2,-8.0465,0.0688,0.0
5->3,60,2,-18.4875,0.0778,0.0
2->4,20,2,-12.4401,2.3948,0.5
2->4,30,2,-6.3306,2.8549,0.5
2->4,60,2,21.8618,3.7835,1.0
5->2,20,1,46.0066,0.7927,1.0
5->2,30,1,46.2611,0.9179,1.0
5->2,60,1,40.0233,1.1174,1.0
NA->2,20,1,6.3945,0.8315,1.0
NA->2,30,1,10.2304,0.9931,1.0
NA->2,60,1,27.4005,1.2387,1.0
