split,subset,horizon_min,n,mean_aligned_actual_bps,median_aligned_actual_bps,q_aligned_actual_bps,transmission_rate,mean_plie_mag_bps,coverage_actual_le_plie,mean_absorption,spearman_abs_plie_vs_aligned
train,all,20,28355,0.1744,0.0,3.6499,0.4256,2.3831,0.6276,1.0228,0.00719
train,all,30,28355,0.389,0.0,4.614,0.4275,2.9027,0.6253,1.1683,0.00561
train,all,60,28355,0.3076,0.0,6.552,0.4251,4.1242,0.6266,1.8228,0.00962
train,state_1_5,20,11005,0.4305,0.2856,6.7313,0.507,4.9716,0.6037,0.9889,0.01975
train,state_1_5,30,11005,0.7527,0.2457,8.3842,0.505,6.089,0.6051,0.9503,0.01191
train,state_1_5,60,11005,1.1617,0.5237,12.1367,0.5069,8.8697,0.6045,0.9237,0.01493
train,strong_entry,20,304,3.1413,1.985,7.9372,0.5428,5.9048,0.5822,0.4711,0.03958
train,strong_entry,30,304,4.8937,2.7449,12.0026,0.5592,8.1683,0.5855,0.3798,0.05741
train,strong_entry,60,304,8.7157,4.8583,16.0464,0.5724,10.8374,0.5888,0.1138,0.013
train,plie_abs_top20,20,5671,1.2909,0.7088,7.9673,0.5137,6.5885,0.62,0.7886,0.00756
train,plie_abs_top20,30,5671,1.6635,0.4042,9.6115,0.5077,8.0731,0.6214,0.7758,0.01116
train,plie_abs_top20,60,5671,2.3361,0.7264,14.0617,0.5084,11.6146,0.6263,0.7878,0.00784
train,plie_abs_top10,20,2836,1.2531,0.9481,8.8682,0.5159,7.9095,0.6298,0.8257,-0.01665
train,plie_abs_top10,30,2836,1.5948,0.7724,10.6472,0.5152,9.6759,0.6336,0.8188,-0.01559
train,plie_abs_top10,60,2836,2.285,1.1924,14.9813,0.5116,13.8317,0.6421,0.8325,-0.00638
train,accel_top10,20,2836,1.4894,0.673,8.9526,0.5138,4.8912,0.5744,-0.0542,-0.00039
train,accel_top10,30,2836,2.3676,0.1324,10.884,0.5032,5.8798,0.5822,-0.0019,-0.00095
train,accel_top10,60,2836,3.6731,0.7938,14.6785,0.506,8.2426,0.5829,0.3579,0.02498
train,reliability_top20,20,5671,0.6613,0.3071,6.5195,0.5064,5.617,0.62,0.9389,0.02707
train,reliability_top20,30,5671,1.183,0.3377,7.9345,0.5064,6.859,0.62,0.8742,0.02504
train,reliability_top20,60,5671,1.2868,0.1074,11.6465,0.5013,9.9848,0.6235,0.9039,0.01712
validation,all,20,6076,-0.3025,-0.0,4.0208,0.4223,2.8063,0.6323,0.9959,-0.00521
validation,all,30,6076,-0.2387,-0.0,4.2833,0.4184,3.4144,0.6369,1.154,-0.01269
validation,all,60,6076,-0.0649,0.0,5.6047,0.4197,4.8542,0.6437,-0.1829,-0.00911
validation,state_1_5,20,2453,0.0009,-0.285,6.8408,0.4921,5.8465,0.6201,1.0373,-0.01661
validation,state_1_5,30,2453,-0.0134,-0.7409,8.0665,0.4872,7.1456,0.6282,1.0086,-0.02996
validation,state_1_5,60,2453,0.5653,-0.4766,10.7359,0.4949,10.3711,0.64,0.9436,-0.03281
validation,strong_entry,20,53,1.734,-1.6628,6.6519,0.4528,7.1917,0.6604,0.5201,-0.24286
validation,strong_entry,30,53,-0.2023,-6.0207,8.2402,0.434,9.7578,0.6981,0.8411,-0.19239
validation,strong_entry,60,53,2.4802,0.5232,7.2735,0.5094,13.0048,0.6981,0.6015,-0.10458
validation,plie_abs_top20,20,1216,-0.5075,-0.7228,7.5811,0.4885,7.9377,0.6546,1.0525,-0.02017
validation,plie_abs_top20,30,1216,-0.702,-2.0336,8.5853,0.4745,9.6908,0.6653,1.062,-0.03376
validation,plie_abs_top20,60,1216,-0.4472,-1.6183,11.3817,0.4794,13.8933,0.6727,1.0424,-0.00506
validation,plie_abs_top10,20,608,-0.6647,-0.8885,6.5641,0.4836,9.5761,0.6891,1.0332,-0.06552
validation,plie_abs_top10,30,608,-1.6102,-3.9739,7.5675,0.4507,11.6782,0.7105,1.1232,-0.04006
validation,plie_abs_top10,60,608,-1.0411,-1.3211,10.6497,0.4868,16.6228,0.7122,1.0717,-0.02744
validation,accel_top10,20,608,-0.8203,0.1512,9.4833,0.5,6.2942,0.602,0.6728,-0.04046
validation,accel_top10,30,608,-2.529,-2.2245,9.2836,0.4737,7.5507,0.6365,1.2023,-0.02767
validation,accel_top10,60,608,-0.305,-0.996,13.3992,0.4885,10.5881,0.6201,1.7309,0.02874
validation,reliability_top20,20,1216,0.3261,-0.0125,6.7856,0.5,6.7795,0.6308,0.9533,-0.00618
validation,reliability_top20,30,1216,0.4568,-0.0275,8.1135,0.4992,8.2572,0.6464,0.9489,-0.02381
validation,reliability_top20,60,1216,1.2194,0.1279,11.0048,0.5033,11.9652,0.6595,0.9205,0.00137
test,all,20,6077,0.1189,0.0,3.4476,0.4171,1.9987,0.626,-2.0819,-0.00015
test,all,30,6077,0.1154,0.0,4.3416,0.4211,2.4286,0.62,-2.0246,-0.00656
test,all,60,6076,0.0797,0.0,5.1983,0.4146,3.4086,0.6335,-0.7424,-0.01781
test,state_1_5,20,1670,0.2223,0.0547,6.586,0.5024,5.1557,0.615,0.979,0.00053
test,state_1_5,30,1670,0.0687,0.0708,7.3939,0.5006,6.3164,0.612,1.0148,-0.00397
test,state_1_5,60,1670,-0.1224,-0.3307,10.145,0.494,9.2021,0.6341,1.0173,-0.01555
test,strong_entry,20,45,-0.2847,0.6091,6.3466,0.5333,6.761,0.6889,1.0704,-0.0776
test,strong_entry,30,45,-5.2288,-2.1418,5.713,0.4222,9.2201,0.6889,1.7817,0.06614
test,strong_entry,60,45,-3.7968,-4.7071,10.225,0.4,12.2879,0.6889,1.4688,0.08142
test,plie_abs_top20,20,1216,0.179,-0.5181,6.7803,0.4885,6.0379,0.6357,0.972,0.00221
test,plie_abs_top20,30,1216,0.4698,-0.4602,7.8839,0.4942,7.3925,0.6275,0.9331,-0.01272
test,plie_abs_top20,60,1216,-0.4267,-0.8813,10.1246,0.4868,10.6805,0.6612,1.0367,-0.01303
test,plie_abs_top10,20,608,0.2505,0.1305,7.8552,0.5033,7.5219,0.6464,0.9875,0.02774
test,plie_abs_top10,30,608,0.5567,0.2259,8.1699,0.5049,9.2135,0.6546,0.948,0.01076
test,plie_abs_top10,60,608,-1.565,-2.4538,9.9684,0.4622,13.2022,0.6924,1.1443,0.02576
test,accel_top10,20,608,0.5526,-0.9697,8.9486,0.4786,4.1559,0.5921,0.8181,0.01679
test,accel_top10,30,608,-0.0472,-2.9707,7.6534,0.4638,4.9888,0.6036,1.9899,0.04562
test,accel_top10,60,608,0.177,-0.9804,14.0537,0.4885,6.9303,0.5822,0.0402,-0.00508
