variable,decile,horizon_min,n,mean_variable,mean_plie_mag_bps,mean_aligned_actual_bps,transmission_rate
plie_intensity,0,20,4051,0.00222,0.1574,-0.1961,0.0839
plie_intensity,0,30,4051,0.00222,0.1894,-0.0969,0.0839
plie_intensity,0,60,4051,0.00222,0.2629,0.1713,0.0857
plie_intensity,1,20,4051,0.01485,0.3546,-0.1498,0.2259
plie_intensity,1,30,4051,0.01485,0.4265,0.0671,0.232
plie_intensity,1,60,4051,0.01485,0.5891,0.3405,0.2219
plie_intensity,2,20,4051,0.05194,0.7972,0.3482,0.4475
plie_intensity,2,30,4051,0.05194,0.9576,0.3868,0.4473
plie_intensity,2,60,4051,0.05194,1.3105,0.1556,0.4443
plie_intensity,3,20,4050,0.09845,1.0368,-0.6016,0.4812
plie_intensity,3,30,4050,0.09845,1.2487,-0.3133,0.4815
plie_intensity,3,60,4050,0.09845,1.6945,0.2411,0.4936
plie_intensity,4,20,4051,0.16125,1.7446,-0.6569,0.4794
plie_intensity,4,30,4051,0.16125,2.1218,-0.3547,0.489
plie_intensity,4,60,4051,0.16125,3.0351,-0.5734,0.4851
plie_intensity,5,20,4051,0.2541,2.0765,0.3894,0.5137
plie_intensity,5,30,4051,0.2541,2.531,0.5074,0.5186
plie_intensity,5,60,4051,0.2541,3.6125,-0.8182,0.4967
plie_intensity,6,20,4050,0.39961,2.3164,-0.4666,0.4911
plie_intensity,6,30,4050,0.39961,2.8232,-0.1683,0.4988
plie_intensity,6,60,4049,0.39961,3.9916,-1.0762,0.4986
plie_intensity,7,20,4051,0.62605,3.2988,1.257,0.5073
plie_intensity,7,30,4051,0.62605,4.0301,0.9759,0.4979
plie_intensity,7,60,4051,0.62605,5.7467,0.2874,0.4962
plie_intensity,8,20,4051,1.00711,4.8725,0.8349,0.5083
plie_intensity,8,30,4051,1.00711,5.9534,1.4785,0.5112
plie_intensity,8,60,4051,1.00711,8.5367,2.2798,0.5068
plie_intensity,9,20,4051,2.43621,7.2344,0.1866,0.5001
plie_intensity,9,30,4051,2.43621,8.8014,0.055,0.4915
plie_intensity,9,60,4051,2.43621,12.4834,1.1673,0.4984
plie_accel_pos,0,20,4051,0.0,2.269,0.0725,0.3989
plie_accel_pos,0,30,4051,0.0,2.7754,0.5666,0.3977
plie_accel_pos,0,60,4051,0.0,4.0005,-1.0158,0.3861
plie_accel_pos,1,20,4051,0.0,1.7962,0.1426,0.3631
plie_accel_pos,1,30,4051,0.0,2.1964,0.3765,0.3636
plie_accel_pos,1,60,4051,0.0,3.127,0.5478,0.3644
plie_accel_pos,2,20,4051,0.0,1.9758,-0.1834,0.3737
plie_accel_pos,2,30,4051,0.0,2.4167,-0.2197,0.3834
plie_accel_pos,2,60,4051,0.0,3.4479,-0.0129,0.3765
plie_accel_pos,3,20,4050,0.0,2.1971,-0.096,0.3654
plie_accel_pos,3,30,4050,0.0,2.6903,0.4512,0.376
plie_accel_pos,3,60,4050,0.0,3.8563,-0.2153,0.362
plie_accel_pos,4,20,4051,0.0,2.2634,-0.1868,0.3703
plie_accel_pos,4,30,4051,0.0,2.7695,-0.5263,0.3592
plie_accel_pos,4,60,4051,0.0,3.9559,-0.6115,0.3594
plie_accel_pos,5,20,4051,1e-05,1.8447,0.529,0.3839
plie_accel_pos,5,30,4051,1e-05,2.2543,0.6176,0.3898
plie_accel_pos,5,60,4050,1e-05,3.2002,0.3497,0.3758
plie_accel_pos,6,20,4050,0.00527,1.4837,-0.534,0.4894
plie_accel_pos,6,30,4050,0.00527,1.8025,-0.1083,0.4968
plie_accel_pos,6,60,4050,0.00527,2.5218,0.1837,0.4928
plie_accel_pos,7,20,4051,0.02257,2.0377,-0.0588,0.4922
plie_accel_pos,7,30,4051,0.02257,2.4841,0.1144,0.4979
plie_accel_pos,7,60,4051,0.02257,3.5176,0.4423,0.5107
plie_accel_pos,8,20,4051,0.06822,3.0201,0.2774,0.4952
plie_accel_pos,8,30,4051,0.06822,3.6843,0.0186,0.4952
plie_accel_pos,8,60,4051,0.06822,5.2203,0.0241,0.5004
plie_accel_pos,9,20,4051,0.36735,5.0014,0.9827,0.5063
plie_accel_pos,9,30,4051,0.36735,6.0095,1.2473,0.4922
plie_accel_pos,9,60,4051,0.36735,8.4154,2.4835,0.4991
plie_abs_main_bps,0,20,4051,0.0,0.016,0.0,0.0
plie_abs_main_bps,0,30,4051,0.0,0.0186,0.0,0.0
plie_abs_main_bps,0,60,4051,0.0,0.0205,0.0,0.0
plie_abs_main_bps,1,20,4051,0.07134,0.0685,0.4213,0.2399
plie_abs_main_bps,1,30,4051,0.07134,0.0797,0.6325,0.2493
plie_abs_main_bps,1,60,4051,0.07134,0.0926,-0.0039,0.2362
plie_abs_main_bps,2,20,4051,0.59502,0.5098,-0.4136,0.5046
plie_abs_main_bps,2,30,4051,0.59502,0.595,-0.1145,0.5043
plie_abs_main_bps,2,60,4051,0.59502,0.6825,0.3043,0.5038
plie_abs_main_bps,3,20,4050,0.80205,0.6795,-0.1685,0.4899
plie_abs_main_bps,3,30,4050,0.80205,0.8021,0.2763,0.4894
plie_abs_main_bps,3,60,4050,0.80205,0.9595,0.2023,0.4911
plie_abs_main_bps,4,20,4051,1.14547,0.9603,-0.1802,0.4962
plie_abs_main_bps,4,30,4051,1.14547,1.1455,0.0777,0.513
plie_abs_main_bps,4,60,4051,1.14547,1.4365,-0.8293,0.4991
plie_abs_main_bps,5,20,4051,1.80851,1.5043,-0.4441,0.4927
plie_abs_main_bps,5,30,4051,1.80851,1.8085,-1.1294,0.4861
plie_abs_main_bps,5,60,4050,1.80851,2.3985,-2.5023,0.4812
plie_abs_main_bps,6,20,4050,3.39425,2.7946,-0.194,0.4988
plie_abs_main_bps,6,30,4050,3.39425,3.3943,0.0403,0.5017
plie_abs_main_bps,6,60,4050,3.39425,4.9362,0.6201,0.5007
plie_abs_main_bps,7,20,4051,4.71333,3.8598,0.0612,0.5036
plie_abs_main_bps,7,30,4051,4.71333,4.7133,0.2713,0.5038
plie_abs_main_bps,7,60,4051,4.71333,6.964,1.0465,0.512
plie_abs_main_bps,8,20,4051,6.55973,5.3451,0.9881,0.5031
plie_abs_main_bps,8,30,4051,6.55973,6.5597,1.3022,0.4986
plie_abs_main_bps,8,60,4051,6.55973,9.5299,1.6028,0.5001
plie_abs_main_bps,9,20,4051,9.96626,8.151,0.8749,0.5098
plie_abs_main_bps,9,30,4051,9.96626,9.9663,1.1815,0.5056
plie_abs_main_bps,9,60,4051,9.96626,14.2423,1.7347,0.5028
