horizon_min,term,value
20,intercept,1.2253912477409863
20,model_log1p_intensity,6.409178448515401
20,model_log1p_accel_pos,2.0532384542758906
20,model_strong_entry,0.0
20,model_transition_severity,1.151245101313801
20,model_strong_state,2.4885082893131987
30,intercept,1.415204466128888
30,model_log1p_intensity,7.891394201966711
30,model_log1p_accel_pos,1.5601455316839756
30,model_strong_entry,0.6954075197333954
30,model_transition_severity,2.212684341976175
30,model_strong_state,3.1198689561156483
60,intercept,1.5269781478808575
60,model_log1p_intensity,11.005489932055601
60,model_log1p_accel_pos,1.6087579926407853
60,model_strong_entry,0.7305766984349624
60,model_transition_severity,1.944850956795522
60,model_strong_state,5.410746135366101
