subset,horizon_min,n,pinball_q,mae_aligned_vs_plie,mean_aligned_actual_bps,median_aligned_actual_bps,mean_plie_mag_bps,transmission_rate,spearman_plie_vs_aligned,spearman_signed_plie_vs_return
train,20,28355,8.153785,16.9702,0.1744,0.0,2.3831,0.4256,0.00719,0.00799
train,30,28355,10.22059,21.1953,0.389,0.0,2.9027,0.4275,0.00561,0.00854
train,60,28355,14.779343,30.7037,0.3076,0.0,4.1242,0.4251,0.00962,0.00651
validation,20,6076,7.520474,15.9736,-0.3025,0.0,2.8063,0.4223,-0.00521,-0.00515
validation,30,6076,9.016696,19.1293,-0.2387,0.0,3.4144,0.4184,-0.01269,-0.01101
validation,60,6076,12.94014,27.356,-0.0649,0.0,4.8542,0.4197,-0.00911,-0.01715
test,20,6077,7.746968,16.0579,0.1189,0.0,1.9987,0.4171,-0.00015,0.00451
test,30,6077,9.169042,19.032,0.1154,0.0,2.4286,0.4211,-0.00656,-0.00467
test,60,6076,12.707158,26.413,0.0797,0.0,3.4086,0.4146,-0.01781,-0.0151
all,20,40508,7.997761,16.6838,0.0945,0.0,2.3889,0.4238,0.00389,0.00552
all,30,40508,9.882259,20.5609,0.2538,0.0,2.9083,0.4252,0.00081,0.00373
all,60,40507,14.192639,29.5579,0.2176,0.0,4.1264,0.4227,0.00262,-2e-05
