split,horizon_min,n,target_quantile,coverage_actual_le_plie,coverage_error,pinball_model,pinball_null_train_q,pinball_zero,improvement_vs_null_pct,improvement_vs_zero_pct,train_null_q_bps
train,20,28355,0.65,0.6276,-0.0224,8.153785,8.261727,8.397898,1.3065,2.9068,3.6499
validation,20,6076,0.65,0.6323,-0.0177,7.520474,7.606823,7.753329,1.1352,3.0033,3.6499
test,20,6077,0.65,0.626,-0.024,7.746968,7.826124,7.945398,1.0114,2.4974,3.6499
all,20,40508,0.65,0.6281,-0.0219,7.997761,8.098146,8.233332,1.2396,2.8612,3.6499
train,30,28355,0.65,0.6253,-0.0247,10.22059,10.339902,10.513145,1.1539,2.7828,4.614
validation,30,6076,0.65,0.6369,-0.0131,9.016696,9.12518,9.27968,1.1888,2.834,4.614
test,30,6077,0.65,0.62,-0.03,9.169042,9.251102,9.408927,0.887,2.5496,4.614
all,30,40508,0.65,0.6262,-0.0238,9.882259,9.994358,10.162477,1.1216,2.7574,4.614
train,60,28355,0.65,0.6266,-0.0234,14.779343,14.951391,15.195099,1.1507,2.7361,6.552
validation,60,6076,0.65,0.6437,-0.0063,12.94014,13.095075,13.286911,1.1832,2.6099,6.552
test,60,6076,0.65,0.6335,-0.0165,12.707158,12.832366,12.978952,0.9757,2.0941,6.552
all,60,40507,0.65,0.6302,-0.0198,14.192639,14.355095,14.576454,1.1317,2.6331,6.552
