latest_time,window_days,window_start,subset,horizon_min,n,target_quantile,coverage_actual_le_plie,coverage_error,pinball_q,pinball_null_train_q,improvement_vs_null_pct,mean_aligned_actual_bps,median_aligned_actual_bps,mean_plie_mag_bps,transmission_rate,mean_absorption,spearman_abs_plie_vs_aligned,spearman_signed_plie_vs_return
2026-05-12 02:50:00+00:00,7,2026-05-05 02:50:00+00:00,all,20,169,0.65,0.6331,-0.0169,6.134652,6.205513,1.1419,-0.7047,0.0,2.1096,0.4083,1.1217,-0.02807,-0.05421
2026-05-12 02:50:00+00:00,7,2026-05-05 02:50:00+00:00,all,30,169,0.65,0.5976,-0.0524,7.523373,7.565627,0.5585,-0.6286,0.0,2.5595,0.432,1.5,0.01344,-0.03408
2026-05-12 02:50:00+00:00,7,2026-05-05 02:50:00+00:00,all,60,168,0.65,0.6429,-0.0071,8.810871,9.138716,3.5874,-0.8315,0.0,3.6218,0.4464,-2.7777,0.02086,-0.03105
2026-05-12 02:50:00+00:00,7,2026-05-05 02:50:00+00:00,state_1_5,20,52,0.65,0.6346,-0.0154,6.699118,6.674544,-0.3682,0.8204,-0.321,4.8354,0.4808,0.7308,-0.09263,-0.09263
2026-05-12 02:50:00+00:00,7,2026-05-05 02:50:00+00:00,state_1_5,30,52,0.65,0.5385,-0.1115,8.182072,8.187522,0.0666,1.3405,3.602,5.9035,0.5577,0.7019,-0.07607,-0.07607
2026-05-12 02:50:00+00:00,7,2026-05-05 02:50:00+00:00,state_1_5,60,52,0.65,0.5769,-0.0731,10.152713,10.272993,1.1708,2.1305,3.1856,8.6653,0.5385,0.5131,-0.12473,-0.12473
2026-05-12 02:50:00+00:00,7,2026-05-05 02:50:00+00:00,plie_abs_top20,20,34,0.65,0.6471,-0.0029,7.1554,7.08977,-0.9257,-0.3098,-0.4107,5.6438,0.4706,0.9565,-0.14927,-0.14927
2026-05-12 02:50:00+00:00,7,2026-05-05 02:50:00+00:00,plie_abs_top20,30,34,0.65,0.5294,-0.1206,8.34939,8.359887,0.1256,1.8267,4.1231,6.8905,0.5588,0.5282,-0.31154,-0.31154
2026-05-12 02:50:00+00:00,7,2026-05-05 02:50:00+00:00,plie_abs_top20,60,34,0.65,0.6176,-0.0324,8.787424,9.019234,2.5702,-1.6914,-0.2333,10.0383,0.5,1.1466,-0.06921,-0.06921
2026-05-12 02:50:00+00:00,7,2026-05-05 02:50:00+00:00,plie_abs_top10,20,17,0.65,0.7059,0.0559,6.040668,5.952683,-1.4781,-0.858,-0.5356,6.5473,0.4118,1.1144,-0.05637,-0.05637
2026-05-12 02:50:00+00:00,7,2026-05-05 02:50:00+00:00,plie_abs_top10,30,17,0.65,0.6471,-0.0029,7.338881,7.17594,-2.2706,-2.1851,2.322,7.9901,0.5294,1.2282,-0.17892,-0.17892
2026-05-12 02:50:00+00:00,7,2026-05-05 02:50:00+00:00,plie_abs_top10,60,17,0.65,0.6471,-0.0029,8.759794,9.037054,3.068,-1.6396,-6.7853,11.5734,0.4118,1.1073,-0.05637,-0.05637
2026-05-12 02:50:00+00:00,7,2026-05-05 02:50:00+00:00,accel_top10,20,17,0.65,0.7059,0.0559,5.945238,5.91874,-0.4477,-6.0993,-5.2324,3.6403,0.3529,6.566,0.02451,-0.22304
2026-05-12 02:50:00+00:00,7,2026-05-05 02:50:00+00:00,accel_top10,30,17,0.65,0.7647,0.1147,6.711276,6.492467,-3.3702,-8.2733,-6.944,4.3672,0.2941,6.5323,0.06127,-0.33088
2026-05-12 02:50:00+00:00,7,2026-05-05 02:50:00+00:00,accel_top10,60,17,0.65,0.7647,0.1147,8.449579,8.673592,2.5827,-7.6072,-10.1483,6.1455,0.3529,4.613,0.01225,-0.22549
2026-05-12 02:50:00+00:00,7,2026-05-05 02:50:00+00:00,reliability_top20,20,34,0.65,0.6176,-0.0324,6.972986,6.894123,-1.1439,0.8385,-0.321,4.8642,0.4706,0.4865,-0.19572,-0.19572
2026-05-12 02:50:00+00:00,7,2026-05-05 02:50:00+00:00,reliability_top20,30,34,0.65,0.6176,-0.0324,8.851418,8.645619,-2.3804,-0.4145,2.5331,5.927,0.5294,0.8658,-0.11933,-0.11933
2026-05-12 02:50:00+00:00,7,2026-05-05 02:50:00+00:00,reliability_top20,60,34,0.65,0.5882,-0.0618,10.458832,10.509652,0.4836,1.1889,1.6608,8.7074,0.5,0.5697,-0.21314,-0.21314
2026-05-12 02:50:00+00:00,14,2026-04-28 02:50:00+00:00,all,20,337,0.65,0.6588,0.0088,5.854351,5.998017,2.3952,-1.0351,0.0,2.4057,0.3917,5.9213,-0.03039,-0.03478
2026-05-12 02:50:00+00:00,14,2026-04-28 02:50:00+00:00,all,30,337,0.65,0.6499,-0.0001,6.910294,7.01929,1.5528,-1.1681,0.0,2.9283,0.4125,4.7466,0.01684,-0.01862
2026-05-12 02:50:00+00:00,14,2026-04-28 02:50:00+00:00,all,60,336,0.65,0.6667,0.0167,8.895662,9.231765,3.6407,0.341,0.0,4.1861,0.4256,-0.5521,0.03103,-0.04045
