fold,train_start,train_end,validation_end,horizon_min,train_rows,validation_rows,mean_plie_mag_bps,mean_aligned_actual_bps,transmission_rate,coverage_actual_le_plie,pinball_q
0,2021-08-28 11:50:00+00:00,2023-02-28 11:50:00+00:00,2023-05-28 11:50:00+00:00,20,12863,2056,1.9471427274137476,0.049931814213762755,0.3983463035019455,0.6532101167315175,6.466935462130564
0,2021-08-28 11:50:00+00:00,2023-02-28 11:50:00+00:00,2023-05-28 11:50:00+00:00,30,12863,2056,2.42063440425191,-0.30819977283684385,0.4056420233463035,0.6459143968871596,8.61328702084805
0,2021-08-28 11:50:00+00:00,2023-02-28 11:50:00+00:00,2023-05-28 11:50:00+00:00,60,12863,2056,3.431349071016057,-1.093469050182633,0.3944552529182879,0.6556420233463035,12.379425858768457
1,2021-11-28 11:50:00+00:00,2023-05-28 11:50:00+00:00,2023-08-28 11:50:00+00:00,20,12713,2067,2.1757102154019186,0.4860319806136969,0.44508950169327527,0.6400580551523948,4.901375681838
1,2021-11-28 11:50:00+00:00,2023-05-28 11:50:00+00:00,2023-08-28 11:50:00+00:00,30,12713,2067,2.7968304553730485,0.48062492431640513,0.4417029511369134,0.6468311562651186,6.213810315659467
1,2021-11-28 11:50:00+00:00,2023-05-28 11:50:00+00:00,2023-08-28 11:50:00+00:00,60,12713,2067,4.117842435463242,0.23782823011489043,0.43009192065795837,0.6444121915820029,9.103762076655476
2,2022-02-28 11:50:00+00:00,2023-08-28 11:50:00+00:00,2023-11-28 11:50:00+00:00,20,12582,2098,1.810752565474231,0.04012173355740736,0.4127740705433746,0.6387035271687321,5.815304856002522
2,2022-02-28 11:50:00+00:00,2023-08-28 11:50:00+00:00,2023-11-28 11:50:00+00:00,30,12582,2098,2.317911734358704,0.11830712940507211,0.40896091515729266,0.6367969494756911,7.3191225380023
2,2022-02-28 11:50:00+00:00,2023-08-28 11:50:00+00:00,2023-11-28 11:50:00+00:00,60,12582,2098,3.450553735657644,0.5132707726824,0.4304099142040038,0.6315538608198284,10.579945333497356
3,2022-05-28 11:50:00+00:00,2023-11-28 11:50:00+00:00,2024-02-28 11:50:00+00:00,20,12559,2200,1.7953740183469797,-0.7090973020261042,0.40636363636363637,0.6263636363636363,7.661899248252265
3,2022-05-28 11:50:00+00:00,2023-11-28 11:50:00+00:00,2024-02-28 11:50:00+00:00,30,12559,2200,2.2388778517895274,-0.17092652717733922,0.43272727272727274,0.6090909090909091,9.392267874852097
3,2022-05-28 11:50:00+00:00,2023-11-28 11:50:00+00:00,2024-02-28 11:50:00+00:00,60,12559,2200,3.5020482393839534,-0.28043543698404544,0.4213636363636364,0.6190909090909091,13.591778046121133
4,2022-08-28 11:50:00+00:00,2024-02-28 11:50:00+00:00,2024-05-28 11:50:00+00:00,20,12559,2151,1.7071935534119418,0.6853771377354653,0.4318921431892143,0.5936773593677359,10.136784861440976
4,2022-08-28 11:50:00+00:00,2024-02-28 11:50:00+00:00,2024-05-28 11:50:00+00:00,30,12559,2151,2.163150835092234,0.777066983336379,0.42073454207345423,0.6071594607159461,12.479205651572997
4,2022-08-28 11:50:00+00:00,2024-02-28 11:50:00+00:00,2024-05-28 11:50:00+00:00,60,12559,2151,3.1281865484254423,-0.5667600976471948,0.42073454207345423,0.606694560669456,16.708484472859542
5,2022-11-28 11:50:00+00:00,2024-05-28 11:50:00+00:00,2024-08-28 11:50:00+00:00,20,12552,2179,2.330629969428666,0.42556733134733277,0.4378155117026159,0.6057824690224873,8.756480156251412
5,2022-11-28 11:50:00+00:00,2024-05-28 11:50:00+00:00,2024-08-28 11:50:00+00:00,30,12552,2179,2.8459955194090965,1.0255276034290732,0.4515832950894906,0.59889857732905,10.55505507059525
5,2022-11-28 11:50:00+00:00,2024-05-28 11:50:00+00:00,2024-08-28 11:50:00+00:00,60,12552,2179,4.295995259168151,0.4216628978901927,0.432308398347866,0.6154199173932997,15.000530987198085
6,2023-02-28 11:50:00+00:00,2024-08-28 11:50:00+00:00,2024-11-28 11:50:00+00:00,20,12751,2197,2.2896479787609265,0.24881782406582034,0.41374601729631316,0.6263086026399636,8.143996283914975
6,2023-02-28 11:50:00+00:00,2024-08-28 11:50:00+00:00,2024-11-28 11:50:00+00:00,30,12751,2197,2.7922337449368073,0.46156725269672744,0.41147018661811563,0.6326809285389167,10.237344394479196
6,2023-02-28 11:50:00+00:00,2024-08-28 11:50:00+00:00,2024-11-28 11:50:00+00:00,60,12751,2197,3.991829520383168,0.45722221966997395,0.41374601729631316,0.6322257624032772,14.012728538373535
7,2023-05-28 11:50:00+00:00,2024-11-28 11:50:00+00:00,2025-02-28 11:50:00+00:00,20,12892,2204,2.200362640024994,-0.4785970702929961,0.4128856624319419,0.617513611615245,8.650263794051918
7,2023-05-28 11:50:00+00:00,2024-11-28 11:50:00+00:00,2025-02-28 11:50:00+00:00,30,12892,2204,2.636690880615642,-1.0919383321813505,0.4033575317604356,0.6293103448275862,10.435517458817763
7,2023-05-28 11:50:00+00:00,2024-11-28 11:50:00+00:00,2025-02-28 11:50:00+00:00,60,12892,2204,3.618928704410804,-0.22497538712780837,0.4069872958257713,0.6270417422867514,14.90710300532588
8,2023-08-28 11:50:00+00:00,2025-02-28 11:50:00+00:00,2025-05-28 11:50:00+00:00,20,13029,2131,2.5103220727256668,-0.18690059098420228,0.39230408259033317,0.6494603472548099,8.062212489407898
8,2023-08-28 11:50:00+00:00,2025-02-28 11:50:00+00:00,2025-05-28 11:50:00+00:00,30,13029,2131,2.9667794719184726,-0.2253514180458007,0.39183481933364617,0.650868137024871,9.605367978912819
8,2023-08-28 11:50:00+00:00,2025-02-28 11:50:00+00:00,2025-05-28 11:50:00+00:00,60,13029,2131,4.116676743553776,-0.3138018417682334,0.3937118723603942,0.652275926794932,13.991349027501625
9,2023-11-28 11:50:00+00:00,2025-05-28 11:50:00+00:00,2025-08-28 11:50:00+00:00,20,13062,2203,4.021512374276388,-0.051318574344267384,0.44893327280980483,0.6368588288697231,6.052865874534021
9,2023-11-28 11:50:00+00:00,2025-05-28 11:50:00+00:00,2025-08-28 11:50:00+00:00,30,13062,2203,4.661859822241536,0.19101500537129987,0.44030866999546076,0.6445755787562415,7.382102265888925
9,2023-11-28 11:50:00+00:00,2025-05-28 11:50:00+00:00,2025-08-28 11:50:00+00:00,60,13062,2203,6.276287471807728,-0.09815150778797307,0.4380390376758965,0.6545619609623241,10.363887724814166
10,2024-02-28 11:50:00+00:00,2025-08-28 11:50:00+00:00,2025-11-28 11:50:00+00:00,20,13065,2208,3.5287719012360794,1.007091308171651,0.44655797101449274,0.636322463768116,7.818578416968359
10,2024-02-28 11:50:00+00:00,2025-08-28 11:50:00+00:00,2025-11-28 11:50:00+00:00,30,13065,2208,3.994030544073767,1.2418777378892714,0.45018115942028986,0.626358695652174,9.275266603038892
10,2024-02-28 11:50:00+00:00,2025-08-28 11:50:00+00:00,2025-11-28 11:50:00+00:00,60,13065,2208,5.3698487276026885,1.2219143652168216,0.4329710144927536,0.6413043478260869,13.061839177698166
11,2024-05-28 11:50:00+00:00,2025-11-28 11:50:00+00:00,2026-02-28 11:50:00+00:00,20,13122,2208,1.4136870963020016,0.38149868533343373,0.4270833333333333,0.6023550724637681,8.428598494081752
11,2024-05-28 11:50:00+00:00,2025-11-28 11:50:00+00:00,2026-02-28 11:50:00+00:00,30,13122,2208,1.5560779509934182,0.32902266422203885,0.4361413043478261,0.5874094202898551,9.955675352520634
11,2024-05-28 11:50:00+00:00,2025-11-28 11:50:00+00:00,2026-02-28 11:50:00+00:00,60,13122,2208,1.903780488654582,0.23324548812714854,0.4257246376811594,0.603713768115942,13.816423402380957
