horizon,split,response_context,n,proportion
20m,test,weak_directional_context,3585,0.5413772274237391
20m,test,directional_core,1755,0.26502567200241617
20m,test,true_neutral_plie,1047,0.15810933252793719
20m,test,low_quality_plie,235,0.03548776804590758
20m,train,weak_directional_context,14555,0.5215911127038165
20m,train,directional_core,8359,0.2995520516036553
20m,train,true_neutral_plie,4165,0.14925640566206774
20m,train,low_quality_plie,826,0.029600430030460492
20m,validation,weak_directional_context,2904,0.48561872909698994
20m,validation,directional_core,1848,0.30903010033444817
20m,validation,true_neutral_plie,956,0.15986622073578596
20m,validation,low_quality_plie,272,0.04548494983277592
30m,test,weak_directional_context,3526,0.5324675324675324
30m,test,directional_core,1799,0.27167019027484146
30m,test,true_neutral_plie,1047,0.15810933252793719
30m,test,low_quality_plie,250,0.03775294472968892
30m,train,weak_directional_context,14373,0.5150689840530371
30m,train,directional_core,8448,0.3027414441856298
30m,train,true_neutral_plie,4165,0.14925640566206774
30m,train,low_quality_plie,919,0.03293316609926537
30m,validation,weak_directional_context,2898,0.4846153846153846
30m,validation,directional_core,1850,0.3093645484949833
30m,validation,true_neutral_plie,956,0.15986622073578596
30m,validation,low_quality_plie,276,0.046153846153846156
60m,test,weak_directional_context,3465,0.5232558139534884
60m,test,directional_core,1815,0.27408637873754155
60m,test,true_neutral_plie,1047,0.15810933252793719
60m,test,low_quality_plie,295,0.04454847478103292
60m,train,weak_directional_context,13965,0.5004479483963448
60m,train,directional_core,8661,0.3103744848593442
60m,train,true_neutral_plie,4165,0.14925640566206774
60m,train,low_quality_plie,1114,0.03992116108224333
60m,validation,weak_directional_context,2832,0.4735785953177257
60m,validation,directional_core,1880,0.31438127090301005
60m,validation,true_neutral_plie,956,0.15986622073578596
60m,validation,low_quality_plie,312,0.05217391304347826
