horizon,split,market_response_label,n,proportion
20m,test,normal_response,484,0.2757834757834758
20m,test,partial_absorption,383,0.21823361823361823
20m,test,baseline_transmission,352,0.20056980056980056
20m,test,passive_amplification,281,0.16011396011396012
20m,test,reversal_takeover,255,0.1452991452991453
20m,train,normal_response,2529,0.3025481516927862
20m,train,partial_absorption,1674,0.2002631893767197
20m,train,baseline_transmission,1672,0.20002392630697452
20m,train,passive_amplification,1251,0.14965905012561312
20m,train,reversal_takeover,1233,0.14750568249790644
20m,validation,normal_response,499,0.270021645021645
20m,validation,partial_absorption,387,0.20941558441558442
20m,validation,baseline_transmission,369,0.19967532467532467
20m,validation,passive_amplification,300,0.16233766233766234
20m,validation,reversal_takeover,293,0.15854978354978355
30m,test,normal_response,477,0.2651473040578099
30m,test,partial_absorption,405,0.22512506948304614
30m,test,baseline_transmission,379,0.21067259588660367
30m,test,passive_amplification,282,0.15675375208449138
30m,test,reversal_takeover,256,0.1423012784880489
30m,train,normal_response,2559,0.3029119318181818
30m,train,baseline_transmission,1704,0.20170454545454544
30m,train,partial_absorption,1680,0.19886363636363635
30m,train,passive_amplification,1260,0.14914772727272727
30m,train,reversal_takeover,1245,0.1473721590909091
30m,validation,normal_response,510,0.2756756756756757
30m,validation,partial_absorption,401,0.21675675675675676
30m,validation,baseline_transmission,372,0.20108108108108108
30m,validation,passive_amplification,290,0.15675675675675677
30m,validation,reversal_takeover,277,0.14972972972972973
60m,test,normal_response,560,0.3085399449035813
60m,test,partial_absorption,417,0.22975206611570248
60m,test,baseline_transmission,357,0.19669421487603306
60m,test,passive_amplification,246,0.13553719008264462
60m,test,reversal_takeover,235,0.12947658402203857
60m,train,normal_response,2617,0.3021591040295578
60m,train,partial_absorption,1737,0.200554208520956
60m,train,baseline_transmission,1735,0.200323288303891
60m,train,passive_amplification,1295,0.1495208405495901
60m,train,reversal_takeover,1277,0.14744255859600508
60m,validation,normal_response,561,0.29840425531914894
60m,validation,partial_absorption,426,0.22659574468085106
60m,validation,baseline_transmission,361,0.1920212765957447
60m,validation,reversal_takeover,268,0.1425531914893617
60m,validation,passive_amplification,264,0.14042553191489363
