horizon,split,response_context,n,median_snr,p90_snr,median_reliability,median_quality_weight,mean_quality_weight,median_sigma_bps,median_braw_bps
20m,test,directional_core,1755,0.4004494664232864,0.7698101897217015,0.7595702478429698,0.6521454038777974,0.6180536133987978,14.657662947314888,6.959054793803046
20m,test,low_quality_plie,235,0.0731240080254298,0.09254340192638112,0.0522619401075033,0.0,0.0,20.425524578035986,1.431230647858002
20m,test,true_neutral_plie,1047,0.07175045600540941,0.09773125549741414,0.0079994512538441,0.0,4.665935904381121e-05,18.065519110949406,1.2613343202331386
20m,test,weak_directional_context,3585,0.1415818585393232,0.34646838204478647,0.3595246420417166,0.037266874029813504,0.08921477110549282,19.311898450448425,2.705586393282041
20m,train,directional_core,8359,0.41465053068403995,0.8685799571093001,0.722711959700007,0.6520002414543956,0.5704538420134035,16.6265162220297,7.15418349545976
20m,train,low_quality_plie,826,0.06917592344536842,0.09286509204019011,0.07017817281784375,0.0,0.0,20.894875321427822,1.4470463159383997
20m,train,true_neutral_plie,4165,0.07073009621798092,0.11993448176550268,0.0115098361067644,0.0,0.00024881357530216156,18.41543281816812,1.2641918901240137
20m,train,weak_directional_context,14555,0.15447117391297044,0.37735680112081915,0.3492914253861528,0.05333992799884882,0.09913497283730162,19.15834436461354,2.8519328061484157
20m,validation,directional_core,1848,0.44332283313300946,0.7493025603570697,0.7612834847985355,0.7198497946050544,0.6292409990254537,16.457385319450292,7.694409940186875
20m,validation,low_quality_plie,272,0.07089480550678318,0.09314787621937916,0.0612789259811104,0.0,0.0,21.009987783864098,1.4425089723193638
20m,validation,true_neutral_plie,956,0.06777540068503649,0.08746409838780028,0.010690088445921751,0.0,1.1173294896506758e-05,18.778042684160415,1.2549841208878263
20m,validation,weak_directional_context,2904,0.12844118405320176,0.325550940723719,0.3621983107402058,0.025335809207423045,0.07760249884877954,18.92203126681803,2.4877748391534498
30m,test,directional_core,1799,0.4218419935610676,0.7872515874823374,0.7578079524818135,0.6894374342880567,0.6293459939686105,18.682923031619275,8.467757372770395
30m,test,low_quality_plie,250,0.07324738781688223,0.09126654843313661,0.053507029522115154,0.0,0.0,25.838479053110365,1.6850789688974284
30m,test,true_neutral_plie,1047,0.07136299935276334,0.09204907304344008,0.0079994512538441,0.0,4.2101564726291055e-05,21.235741354066274,1.4771995983835198
30m,test,weak_directional_context,3526,0.14081856776304283,0.36557617219622934,0.35933507089925665,0.03784230893710756,0.09090583142563212,22.24927532825542,3.2305150291588416
30m,train,directional_core,8448,0.40952061388073,0.8684039201708675,0.722926320545566,0.6373055787759967,0.5674685894129545,21.114910724265204,8.829599496240759
30m,train,low_quality_plie,919,0.06787293594343721,0.09162637011492557,0.06945485242093,0.0,0.0,25.77555117388396,1.7274116026948174
30m,train,true_neutral_plie,4165,0.0659423303101614,0.1156796139653588,0.0115098361067644,0.0,0.00023821209982672665,23.00497805564535,1.4836552515150228
30m,train,weak_directional_context,14373,0.15125731993954122,0.3741191766154502,0.3493117975581051,0.04993385680584426,0.09751445682611605,23.52937962052534,3.443318990130133
30m,validation,directional_core,1850,0.4709590863930466,0.8127626940676832,0.7612299314358189,0.7316475301205576,0.6432127662807257,19.92416178586177,9.50943009909268
30m,validation,low_quality_plie,276,0.06944582471811342,0.09159298910246849,0.0620419277458664,0.0,0.0,25.34685736185852,1.7028621017004268
30m,validation,true_neutral_plie,956,0.06665133986467074,0.08586266350099843,0.010690088445921751,0.0,1.0318166492368612e-05,22.55547762618096,1.472174459711133
30m,validation,weak_directional_context,2898,0.12998983133521674,0.3258968122357737,0.3622067987509242,0.028263118956616172,0.07904577521429315,23.217522027192185,3.004063549628233
60m,test,directional_core,1815,0.4661411046518698,0.8600781820932828,0.7562476779179755,0.7221239506919273,0.6578846952418528,24.845455254626998,12.259684620415822
60m,test,low_quality_plie,295,0.060348342814418456,0.08724891407929558,0.0555697979535326,0.0,0.0,33.027686835417896,1.9477157039477928
60m,test,true_neutral_plie,1047,0.05360751779261891,0.07425753301854864,0.0079994512538441,0.0,3.239694128299047e-05,30.923335049955956,1.6027738392636328
60m,test,weak_directional_context,3465,0.12716560549788267,0.35964583945907785,0.3595246420417166,0.02425698742952465,0.08590077160290634,31.39964778546168,4.047415887202611
60m,train,directional_core,8661,0.4102773138849783,0.8532220134437472,0.7225212900545518,0.640420378559535,0.5691242779983077,30.56968584899903,12.63368442341537
60m,train,low_quality_plie,1114,0.05908543283367252,0.08905723461585967,0.0691702367847854,0.0,0.0,34.65474757875661,1.959350107810398
60m,train,true_neutral_plie,4165,0.050507319248508424,0.08545933201510868,0.0115098361067644,0.0,6.945268595092105e-05,32.644563158851675,1.6105781891243365
60m,train,weak_directional_context,13965,0.1335161010778157,0.3538155475528847,0.3492563481950004,0.030305462291164438,0.08708444607967178,34.135671535801265,4.292482959342889
60m,validation,directional_core,1880,0.47002381698683104,0.8311525626307058,0.7607299079055224,0.7314504481309634,0.6500246511121887,27.71172351000496,13.733825191085563
60m,validation,low_quality_plie,312,0.05862210515341091,0.08834795473957906,0.0645830167372924,0.0,0.0,34.07142905896554,1.959692548778221
60m,validation,true_neutral_plie,956,0.051112712926130344,0.06754024537978091,0.010690088445921751,0.0,4.5354104808030115e-06,31.84932776762379,1.5946220772012896
60m,validation,weak_directional_context,2832,0.115922135767363,0.32339562976183234,0.3623050639751033,0.013790435877771554,0.07237375348400739,32.4645187839904,3.7118072403403763
