horizon,split,market_response_label,n,proportion
20m,test,weak_directional_rejection_candidate,1620,0.24463908184838418
20m,test,weak_directional_amplification_candidate,1510,0.22802778616732106
20m,test,neutral_low_active_move,561,0.08471760797342193
20m,test,normal_response,484,0.07308970099667775
20m,test,partial_absorption,383,0.05783751132588342
20m,test,baseline_transmission,352,0.053156146179401995
20m,test,weak_directional_stall_candidate,295,0.04454847478103292
20m,test,passive_amplification,281,0.04243430987617034
20m,test,neutral_normal_active_move,272,0.04107520386590154
20m,test,reversal_takeover,255,0.038508003624282694
20m,test,neutral_strong_active_move,161,0.024312896405919663
20m,test,weak_directional_transmission_candidate,160,0.024161884627000908
20m,test,low_quality_low_active_move,123,0.018574448807006948
20m,test,low_quality_normal_active_move,55,0.008305647840531562
20m,test,neutral_extreme_active_move,53,0.00800362428269405
20m,test,low_quality_strong_active_move,36,0.005436424041075204
20m,test,low_quality_extreme_active_move,21,0.003171247357293869
20m,train,weak_directional_rejection_candidate,6673,0.23913277190467658
20m,train,weak_directional_amplification_candidate,5781,0.20716717434151585
20m,train,normal_response,2529,0.09062891954846802
20m,train,neutral_low_active_move,2321,0.08317505823329152
20m,train,partial_absorption,1674,0.059989249238487724
20m,train,baseline_transmission,1672,0.059917577495072566
20m,train,weak_directional_stall_candidate,1328,0.04759003762766529
20m,train,passive_amplification,1251,0.04483067550618169
20m,train,reversal_takeover,1233,0.044185629815445264
20m,train,neutral_normal_active_move,1076,0.038559397957355315
20m,train,weak_directional_transmission_candidate,773,0.027701128829958788
20m,train,neutral_strong_active_move,566,0.020283103386489875
20m,train,low_quality_low_active_move,466,0.016699516215731947
20m,train,low_quality_normal_active_move,205,0.007346353700053754
20m,train,neutral_extreme_active_move,200,0.007167174341515857
20m,train,low_quality_strong_active_move,125,0.004479483963447411
20m,train,low_quality_extreme_active_move,29,0.0010392402795197993
20m,train,neutral_unavailable,2,7.167174341515857e-05
20m,train,low_quality_unavailable,1,3.583587170757929e-05
20m,validation,weak_directional_rejection_candidate,1346,0.22508361204013377
20m,validation,weak_directional_amplification_candidate,1180,0.19732441471571907
20m,validation,neutral_low_active_move,544,0.09096989966555184
20m,validation,normal_response,499,0.0834448160535117
20m,validation,partial_absorption,387,0.06471571906354515
20m,validation,baseline_transmission,369,0.0617056856187291
20m,validation,passive_amplification,300,0.05016722408026756
20m,validation,reversal_takeover,293,0.04899665551839465
20m,validation,weak_directional_stall_candidate,258,0.0431438127090301
20m,validation,neutral_normal_active_move,254,0.04247491638795987
20m,validation,low_quality_low_active_move,162,0.02709030100334448
20m,validation,weak_directional_transmission_candidate,120,0.020066889632107024
20m,validation,neutral_strong_active_move,119,0.019899665551839463
20m,validation,low_quality_normal_active_move,67,0.011204013377926422
20m,validation,neutral_extreme_active_move,39,0.006521739130434782
20m,validation,low_quality_strong_active_move,37,0.006187290969899666
20m,validation,low_quality_extreme_active_move,6,0.001003344481605351
30m,test,weak_directional_rejection_candidate,1602,0.24192086982784658
30m,test,weak_directional_amplification_candidate,1454,0.21957112654787073
30m,test,neutral_low_active_move,554,0.08366052552099064
30m,test,normal_response,477,0.07203261854424645
30m,test,partial_absorption,405,0.061159770462096044
30m,test,baseline_transmission,379,0.0572334642102084
30m,test,weak_directional_stall_candidate,295,0.04454847478103292
30m,test,passive_amplification,282,0.042585321655089096
30m,test,neutral_normal_active_move,281,0.04243430987617034
30m,test,reversal_takeover,256,0.03865901540320145
30m,test,weak_directional_transmission_candidate,175,0.026427061310782242
30m,test,neutral_strong_active_move,170,0.02567200241618846
30m,test,low_quality_low_active_move,118,0.017819389912413167
30m,test,low_quality_normal_active_move,64,0.009664753850800362
30m,test,low_quality_strong_active_move,50,0.007550588945937783
30m,test,neutral_extreme_active_move,42,0.006342494714587738
30m,test,low_quality_extreme_active_move,18,0.002718212020537602
30m,train,weak_directional_rejection_candidate,6530,0.23400824225049274
30m,train,weak_directional_amplification_candidate,5810,0.20820641462103565
30m,train,normal_response,2559,0.0917039956996954
30m,train,neutral_low_active_move,2355,0.08439347787134922
30m,train,baseline_transmission,1704,0.0610643253897151
30m,train,partial_absorption,1680,0.0602042644687332
30m,train,weak_directional_stall_candidate,1279,0.04583407991399391
30m,train,passive_amplification,1260,0.0451531983515499
30m,train,reversal_takeover,1245,0.04461566027593621
30m,train,neutral_normal_active_move,1037,0.03716179896075972
30m,train,weak_directional_transmission_candidate,754,0.027020247267514782
30m,train,neutral_strong_active_move,557,0.019960580541121663
30m,train,low_quality_low_active_move,524,0.018777996774771547
30m,train,low_quality_normal_active_move,222,0.007955563519082602
30m,train,neutral_extreme_active_move,214,0.007668876545421967
30m,train,low_quality_strong_active_move,131,0.004694499193692887
30m,train,low_quality_extreme_active_move,41,0.0014692707400107508
30m,train,neutral_unavailable,2,7.167174341515857e-05
30m,train,low_quality_unavailable,1,3.583587170757929e-05
30m,validation,weak_directional_rejection_candidate,1364,0.22809364548494984
30m,validation,weak_directional_amplification_candidate,1147,0.19180602006688963
30m,validation,neutral_low_active_move,536,0.08963210702341137
30m,validation,normal_response,510,0.08528428093645485
30m,validation,partial_absorption,401,0.06705685618729097
30m,validation,baseline_transmission,372,0.06220735785953177
30m,validation,passive_amplification,290,0.048494983277591976
30m,validation,reversal_takeover,277,0.04632107023411371
30m,validation,weak_directional_stall_candidate,262,0.04381270903010034
30m,validation,neutral_normal_active_move,252,0.042140468227424746
30m,validation,low_quality_low_active_move,157,0.02625418060200669
30m,validation,neutral_strong_active_move,139,0.023244147157190635
30m,validation,weak_directional_transmission_candidate,125,0.020903010033444816
30m,validation,low_quality_normal_active_move,72,0.012040133779264214
30m,validation,low_quality_strong_active_move,39,0.006521739130434782
30m,validation,neutral_extreme_active_move,29,0.004849498327759197
30m,validation,low_quality_extreme_active_move,8,0.0013377926421404682
60m,test,weak_directional_rejection_candidate,1581,0.2387496224705527
60m,test,weak_directional_amplification_candidate,1401,0.21156750226517668
60m,test,normal_response,560,0.08456659619450317
60m,test,neutral_low_active_move,554,0.08366052552099064
60m,test,partial_absorption,417,0.06297191180912111
60m,test,baseline_transmission,357,0.05391120507399577
60m,test,weak_directional_stall_candidate,326,0.04922983992751435
60m,test,neutral_normal_active_move,269,0.040622168529145276
60m,test,passive_amplification,246,0.037148897614013895
60m,test,reversal_takeover,235,0.03548776804590758
60m,test,neutral_strong_active_move,166,0.02506795530051344
60m,test,weak_directional_transmission_candidate,156,0.023557837511325883
60m,test,low_quality_low_active_move,153,0.023104802174569616
60m,test,low_quality_normal_active_move,65,0.009815765629719118
60m,test,neutral_extreme_active_move,57,0.008607671398369073
60m,test,low_quality_strong_active_move,54,0.008154636061612805
60m,test,low_quality_extreme_active_move,23,0.00347327091513138
60m,test,neutral_unavailable,1,0.00015101177891875566
60m,test,weak_directional_unavailable,1,0.00015101177891875566
60m,train,weak_directional_rejection_candidate,6409,0.22967210177387565
60m,train,weak_directional_amplification_candidate,5668,0.2031177208385594
60m,train,normal_response,2617,0.093782476258735
60m,train,neutral_low_active_move,2331,0.08353341695036731
60m,train,partial_absorption,1737,0.06224690915606522
60m,train,baseline_transmission,1735,0.06217523741265006
60m,train,passive_amplification,1295,0.04640745386131517
60m,train,reversal_takeover,1277,0.04576240817057875
60m,train,weak_directional_stall_candidate,1198,0.04293137430567998
60m,train,neutral_normal_active_move,1034,0.03705429134563698
60m,train,weak_directional_transmission_candidate,690,0.024726751478229708
60m,train,low_quality_low_active_move,612,0.021931553485038523
60m,train,neutral_strong_active_move,549,0.019673893567461027
60m,train,low_quality_normal_active_move,303,0.010858269127396524
60m,train,neutral_extreme_active_move,249,0.008923132055187242
60m,train,low_quality_strong_active_move,147,0.005267873141014155
60m,train,low_quality_extreme_active_move,51,0.0018276294570865436
60m,train,neutral_unavailable,2,7.167174341515857e-05
60m,train,low_quality_unavailable,1,3.583587170757929e-05
60m,validation,weak_directional_rejection_candidate,1341,0.22424749163879598
60m,validation,weak_directional_amplification_candidate,1126,0.1882943143812709
60m,validation,normal_response,561,0.09381270903010033
60m,validation,neutral_low_active_move,555,0.09280936454849498
60m,validation,partial_absorption,426,0.07123745819397993
60m,validation,baseline_transmission,361,0.06036789297658863
60m,validation,reversal_takeover,268,0.044816053511705686
60m,validation,passive_amplification,264,0.04414715719063545
60m,validation,weak_directional_stall_candidate,263,0.043979933110367894
60m,validation,neutral_normal_active_move,241,0.040301003344481605
60m,validation,low_quality_low_active_move,185,0.030936454849498328
60m,validation,neutral_strong_active_move,126,0.021070234113712373
60m,validation,weak_directional_transmission_candidate,102,0.01705685618729097
60m,validation,low_quality_normal_active_move,76,0.012709030100334449
60m,validation,low_quality_strong_active_move,39,0.006521739130434782
60m,validation,neutral_extreme_active_move,34,0.00568561872909699
60m,validation,low_quality_extreme_active_move,12,0.002006688963210702
