window_hours,split,path_context,path_label,n,proportion_in_split_window
6,test,path_mixed_pressure,path_mixed_pressure_chop,2335,0.35255926317378833
6,test,path_neutral_pressure,path_quiet_no_pressure,1137,0.17167446776385323
6,test,path_mixed_pressure,path_normal_mixed_active_breakout_up,647,0.09768986863958931
6,test,path_mixed_pressure,path_normal_mixed_active_breakout_down,587,0.0886305299713121
6,test,path_mixed_pressure,path_mixed_active_breakout_down,410,0.06190548089989431
6,test,path_mixed_pressure,path_mixed_active_breakout_up,389,0.05873471236599728
6,test,path_neutral_pressure,path_normal_active_dominance_up,284,0.042880869696512156
6,test,path_neutral_pressure,path_normal_active_dominance_down,246,0.037143288539936585
6,test,path_neutral_pressure,path_active_dominance_down,188,0.02838592782726861
6,test,path_neutral_pressure,path_active_dominance_up,169,0.025517137248980824
6,test,path_directional_weak,path_pressure_rejection,59,0.008908349690472595
6,test,path_directional_weak,path_reversal_takeover,54,0.008153404801449495
6,test,path_directional_weak,path_cascade_transmission,35,0.00528461422316171
6,test,path_directional_weak,path_full_absorption_stall,28,0.004227691378529367
6,test,path_directional_weak,path_partial_absorption,22,0.0033217575117016457
6,test,path_directional_weak,path_baseline_transmission,16,0.0024158236448739243
6,test,path_directional_core,path_pressure_rejection,8,0.0012079118224369622
6,test,path_directional_core,path_partial_absorption,4,0.0006039559112184811
6,test,path_directional_core,path_reversal_takeover,2,0.00030197795560924054
6,test,path_directional_core,path_baseline_transmission,1,0.00015098897780462027
6,test,path_directional_core,path_cascade_transmission,1,0.00015098897780462027
6,test,path_directional_core,path_full_absorption_stall,1,0.00015098897780462027
6,train,path_mixed_pressure,path_mixed_pressure_chop,9883,0.3541659200860061
6,train,path_neutral_pressure,path_quiet_no_pressure,5049,0.1809353162515678
6,train,path_mixed_pressure,path_normal_mixed_active_breakout_up,2553,0.09148898046944992
6,train,path_mixed_pressure,path_normal_mixed_active_breakout_down,2524,0.09044974018993011
6,train,path_mixed_pressure,path_mixed_active_breakout_up,1852,0.06636803440243684
6,train,path_mixed_pressure,path_mixed_active_breakout_down,1673,0.059953413366780145
6,train,path_neutral_pressure,path_normal_active_dominance_up,1120,0.0401361763124888
6,train,path_neutral_pressure,path_normal_active_dominance_down,1044,0.03741265006271278
6,train,path_neutral_pressure,path_active_dominance_up,662,0.023723347070417487
6,train,path_neutral_pressure,path_active_dominance_down,558,0.019996416412829243
6,train,path_directional_weak,path_cascade_transmission,241,0.008636445081526608
6,train,path_directional_weak,path_reversal_takeover,158,0.005662067729797527
6,train,path_directional_weak,path_pressure_rejection,141,0.005052857910768679
6,train,path_directional_weak,path_partial_absorption,112,0.00401361763124888
6,train,path_directional_weak,path_baseline_transmission,80,0.002866869736606343
6,train,path_directional_weak,path_full_absorption_stall,69,0.0024726751478229706
6,train,path_mixed_pressure,path_unavailable,52,0.001863465328794123
6,train,path_neutral_pressure,path_unavailable,49,0.001755957713671385
6,train,path_directional_core,path_cascade_transmission,23,0.0008242250492743236
6,train,path_directional_core,path_full_absorption_stall,19,0.0006808815624440065
6,train,path_directional_core,path_pressure_rejection,15,0.0005375380756136893
6,train,path_directional_core,path_partial_absorption,13,0.00046586633219853073
6,train,path_directional_core,path_reversal_takeover,8,0.0002866869736606343
6,train,path_directional_core,path_baseline_transmission,7,0.000250851101953055
6,validation,path_mixed_pressure,path_mixed_pressure_chop,1919,0.3209030100334448
6,validation,path_neutral_pressure,path_quiet_no_pressure,1201,0.2008361204013378
6,validation,path_mixed_pressure,path_normal_mixed_active_breakout_up,585,0.09782608695652174
6,validation,path_mixed_pressure,path_normal_mixed_active_breakout_down,556,0.09297658862876254
6,validation,path_mixed_pressure,path_mixed_active_breakout_up,334,0.05585284280936455
6,validation,path_mixed_pressure,path_mixed_active_breakout_down,309,0.05167224080267559
6,validation,path_neutral_pressure,path_normal_active_dominance_up,260,0.043478260869565216
6,validation,path_neutral_pressure,path_normal_active_dominance_down,226,0.03779264214046823
6,validation,path_neutral_pressure,path_active_dominance_up,125,0.020903010033444816
6,validation,path_neutral_pressure,path_active_dominance_down,100,0.016722408026755852
6,validation,path_directional_weak,path_reversal_takeover,83,0.013879598662207358
6,validation,path_directional_weak,path_cascade_transmission,74,0.012374581939799331
6,validation,path_directional_weak,path_pressure_rejection,67,0.011204013377926422
6,validation,path_directional_weak,path_partial_absorption,48,0.008026755852842809
6,validation,path_directional_weak,path_baseline_transmission,35,0.005852842809364548
6,validation,path_directional_weak,path_full_absorption_stall,35,0.005852842809364548
6,validation,path_directional_core,path_cascade_transmission,12,0.002006688963210702
6,validation,path_directional_core,path_reversal_takeover,3,0.0005016722408026755
6,validation,path_directional_core,path_baseline_transmission,2,0.00033444816053511704
6,validation,path_directional_core,path_full_absorption_stall,2,0.00033444816053511704
6,validation,path_directional_core,path_partial_absorption,2,0.00033444816053511704
6,validation,path_directional_core,path_pressure_rejection,2,0.00033444816053511704
12,test,path_mixed_pressure,path_mixed_pressure_chop,2315,0.34953948361769593
12,test,path_neutral_pressure,path_quiet_no_pressure,1306,0.19719160501283406
12,test,path_mixed_pressure,path_normal_mixed_active_breakout_down,711,0.107353163219085
12,test,path_mixed_pressure,path_normal_mixed_active_breakout_up,683,0.10312547184055564
12,test,path_neutral_pressure,path_normal_active_dominance_up,331,0.049977351653329304
12,test,path_neutral_pressure,path_normal_active_dominance_down,319,0.04816548391967387
12,test,path_mixed_pressure,path_mixed_active_breakout_down,217,0.0327646081836026
12,test,path_mixed_pressure,path_mixed_active_breakout_up,211,0.031858674316774874
12,test,path_neutral_pressure,path_active_dominance_down,115,0.01736373244753133
12,test,path_neutral_pressure,path_active_dominance_up,94,0.014192963913634305
12,test,path_directional_weak,path_pressure_rejection,90,0.013589008002415824
12,test,path_directional_weak,path_baseline_transmission,61,0.009210327646081836
12,test,path_directional_weak,path_cascade_transmission,49,0.007398459912426393
12,test,path_directional_weak,path_partial_absorption,44,0.0066435150234032915
12,test,path_directional_weak,path_full_absorption_stall,30,0.0045296693341386075
12,test,path_directional_weak,path_reversal_takeover,26,0.003925713422920127
12,test,path_directional_core,path_baseline_transmission,7,0.0010569228446323418
12,test,path_directional_core,path_full_absorption_stall,4,0.0006039559112184811
12,test,path_directional_core,path_partial_absorption,4,0.0006039559112184811
12,test,path_directional_core,path_reversal_takeover,3,0.0004529669334138608
12,test,path_directional_core,path_pressure_rejection,2,0.00030197795560924054
12,test,path_directional_core,path_cascade_transmission,1,0.00015098897780462027
12,train,path_mixed_pressure,path_mixed_pressure_chop,10163,0.3641999641641283
12,train,path_neutral_pressure,path_quiet_no_pressure,5680,0.20354775129905034
12,train,path_mixed_pressure,path_normal_mixed_active_breakout_down,2821,0.10109299408708117
12,train,path_mixed_pressure,path_normal_mixed_active_breakout_up,2756,0.09876366242608851
12,train,path_mixed_pressure,path_mixed_active_breakout_up,1230,0.04407812220032252
12,train,path_neutral_pressure,path_normal_active_dominance_up,1151,0.04124708833542376
12,train,path_neutral_pressure,path_normal_active_dominance_down,1045,0.03744848593442036
12,train,path_mixed_pressure,path_mixed_active_breakout_down,1009,0.036158394552947504
12,train,path_neutral_pressure,path_active_dominance_up,399,0.014298512811324136
12,train,path_directional_weak,path_cascade_transmission,344,0.012327539867407275
12,train,path_neutral_pressure,path_active_dominance_down,338,0.012112524637161799
12,train,path_directional_weak,path_pressure_rejection,171,0.006127934061996058
12,train,path_directional_weak,path_reversal_takeover,148,0.0053037090127217345
12,train,path_directional_weak,path_baseline_transmission,144,0.005160365525891417
12,train,path_directional_weak,path_partial_absorption,136,0.004873678552230783
12,train,path_directional_weak,path_full_absorption_stall,112,0.00401361763124888
