window_hours,split,path_label,n,proportion
6,test,path_mixed_pressure_chop,2335,0.35255926317378833
6,test,path_quiet_no_pressure,1137,0.17167446776385323
6,test,path_normal_mixed_active_breakout_up,647,0.09768986863958931
6,test,path_normal_mixed_active_breakout_down,587,0.0886305299713121
6,test,path_mixed_active_breakout_down,410,0.06190548089989431
6,test,path_mixed_active_breakout_up,389,0.05873471236599728
6,test,path_normal_active_dominance_up,284,0.042880869696512156
6,test,path_normal_active_dominance_down,246,0.037143288539936585
6,test,path_active_dominance_down,188,0.02838592782726861
6,test,path_active_dominance_up,169,0.025517137248980824
6,test,path_pressure_rejection,67,0.010116261512909558
6,test,path_reversal_takeover,56,0.008455382757058734
6,test,path_cascade_transmission,36,0.005435603200966329
6,test,path_full_absorption_stall,29,0.004378680356333988
6,test,path_partial_absorption,26,0.003925713422920127
6,test,path_baseline_transmission,17,0.0025668126226785445
6,train,path_mixed_pressure_chop,9883,0.3541659200860061
6,train,path_quiet_no_pressure,5049,0.1809353162515678
6,train,path_normal_mixed_active_breakout_up,2553,0.09148898046944992
6,train,path_normal_mixed_active_breakout_down,2524,0.09044974018993011
6,train,path_mixed_active_breakout_up,1852,0.06636803440243684
6,train,path_mixed_active_breakout_down,1673,0.059953413366780145
6,train,path_normal_active_dominance_up,1120,0.0401361763124888
6,train,path_normal_active_dominance_down,1044,0.03741265006271278
6,train,path_active_dominance_up,662,0.023723347070417487
6,train,path_active_dominance_down,558,0.019996416412829243
6,train,path_cascade_transmission,264,0.009460670130800932
6,train,path_reversal_takeover,166,0.005948754703458161
6,train,path_pressure_rejection,156,0.005590395986382369
6,train,path_partial_absorption,125,0.004479483963447411
6,train,path_unavailable,101,0.0036194230424655078
6,train,path_full_absorption_stall,88,0.0031535567102669772
6,train,path_baseline_transmission,87,0.0031177208385593977
6,validation,path_mixed_pressure_chop,1919,0.3209030100334448
6,validation,path_quiet_no_pressure,1201,0.2008361204013378
6,validation,path_normal_mixed_active_breakout_up,585,0.09782608695652174
6,validation,path_normal_mixed_active_breakout_down,556,0.09297658862876254
6,validation,path_mixed_active_breakout_up,334,0.05585284280936455
6,validation,path_mixed_active_breakout_down,309,0.05167224080267559
6,validation,path_normal_active_dominance_up,260,0.043478260869565216
6,validation,path_normal_active_dominance_down,226,0.03779264214046823
6,validation,path_active_dominance_up,125,0.020903010033444816
6,validation,path_active_dominance_down,100,0.016722408026755852
6,validation,path_cascade_transmission,86,0.014381270903010033
6,validation,path_reversal_takeover,86,0.014381270903010033
6,validation,path_pressure_rejection,69,0.011538461538461539
6,validation,path_partial_absorption,50,0.008361204013377926
6,validation,path_baseline_transmission,37,0.006187290969899666
6,validation,path_full_absorption_stall,37,0.006187290969899666
12,test,path_mixed_pressure_chop,2315,0.34953948361769593
12,test,path_quiet_no_pressure,1306,0.19719160501283406
12,test,path_normal_mixed_active_breakout_down,711,0.107353163219085
12,test,path_normal_mixed_active_breakout_up,683,0.10312547184055564
12,test,path_normal_active_dominance_up,331,0.049977351653329304
12,test,path_normal_active_dominance_down,319,0.04816548391967387
