split,feature,mean,median,p90,missing_rate
test,e_rc_quiet_pressure,0.18443303638834366,0.0,1.0,0.0
test,e_rc_good_data_quality,0.9551411746942473,0.95,1.0,0.0
test,e_rc_low_vol,0.49481301648228165,0.5075531646522197,0.6487064287224694,0.0
test,e_rc_range_compression,0.062349859672056696,0.0,0.28500000000000003,0.0
test,e_rc_low_trend,0.49481301648228165,0.5075531646522197,0.6487064287224694,0.0
test,e_rha_reversal_takeover,0.012381096179978861,0.0,0.0,0.0
test,e_rha_pressure_rejection,0.024762192359957722,0.0,0.0,0.0
test,e_rha_full_absorption_stall,0.015551864713875888,0.0,0.0,0.0
test,e_amb_cross_window_conflict,0.0327646081836026,0.0,0.0,0.0
test,e_amb_data_quality_bad,0.04485882530575269,0.050000000000000044,0.09999999999999998,0.0
test,e_amb_signal_conflict,0.41380825489448875,0.4097304853193155,0.47378403645615097,0.0
test,e_vt_active_dominance,0.25653027329004985,0.0,1.0,0.0
test,e_vt_trend_breakout,0.49901857164427,0.0,1.0,0.0
test,e_vt_neutral_plie,0.9797674769741809,1.0,1.0,0.0
test,e_hpem_cascade_transmission,0.020081534048014493,0.0,0.0,0.0
test,e_hpem_jump,0.02898463435549386,0.0,0.0,0.0
test,e_hpem_directional_plie,0.05546328451356383,0.0,0.3333333333333333,0.0
test,e_st_partial_absorption,0.021692083144597106,0.0,0.0,0.0
test,e_st_orderly_trend,0.013197537055577302,0.0,0.0,0.0
test,score_rc_proxy,0.42279102173914535,0.3695803853224376,0.7051099833092207,0.0
test,score_rha_proxy,0.01734863354975087,0.0,0.0,0.0
test,score_amb_proxy,0.23380746529867383,0.23320180191810722,0.26697466523616165,0.0
test,score_vt_proxy,0.437973727917862,0.55,0.55,0.0
test,score_hpem_proxy,0.03336698927992311,0.0,0.09999999999999999,0.0
test,score_st_proxy,0.017869537404538196,0.0,0.0,0.0
test,e_amb_label_margin_low,0.7356322156440356,0.7797404610120853,0.957572793839997,0.0
